(member name (member * (parameter 0 (member withCallback (root https://www.npmjs.com/package/thenify-all))))),taint,CodeInjection,2.7.0;2.1.0;2.34.0;1.0.0,49
(member name (parameter 0 (member withCallback (root https://www.npmjs.com/package/thenify)))),taint,CodeInjection,2.7.0;2.1.0;2.34.0;0.5.0,47
(parameter 0 (member readFileSync (root https://www.npmjs.com/package/graceful-fs))),taint,TaintedPath,3.0.12;3.0.12;1.3.12;0.13.22;4.0.0;0.4.0;0.4.0;2.0.5;2.4.0;2.0.0;3.0.11;3.0.11,37
(member * (member * (parameter 0 (root https://www.npmjs.com/package/path-to-regexp)))),taint,RegExpInjection,4.17.1;0.1.7,32
(parameter 0 (root https://www.npmjs.com/package/regex-not)),taint,RegExpInjection,1.19.1;3.2.0;2.1.6;2.4.4;3.1.1;4.0.2;4.0.0;unknown,29
(parameter 0 (root https://www.npmjs.com/package/to-regex)),taint,RegExpInjection,1.19.1;3.2.0;2.1.6;2.4.4;3.1.1;4.0.2;4.0.0;unknown,29
(member version (parameter 0 (root https://www.npmjs.com/package/github))),taint,TaintedPath,0.1.16;0.2.4,23
(parameter 0 (member find (root https://www.npmjs.com/package/node-pre-gyp))),taint,TaintedPath,2.1.3;3.0.2;2.1.3;0.11.0,20
(parameter 0 (member find (root https://www.npmjs.com/package/node-pre-gyp/lib/pre-binding))),taint,TaintedPath,1.7.3,20
(parameter 0 (member readFile (root https://www.npmjs.com/package/graceful-fs))),taint,TaintedPath,2.0.3;1.3.12;1.0.0;2.0.3,16
(parameter 0 (return (member withCallback (root https://www.npmjs.com/package/thenify)))),taint,TaintedPath,2.7.0;2.7.0;0.5.0,11
(parameter 0 (parameter 0 (parameter 0 (return (root https://www.npmjs.com/package/amdefine))))),taint,TaintedPath,0.3.2;1.11.0;9.0.8;1.5.0;5.2.1;2.3.1;9.0.8,11
(parameter 0 (member sync (root https://www.npmjs.com/package/rimraf))),taint,TaintedPath,0.12.0;2.6.3;0.12.0;0.5.0,11
(parameter 0 (member writeFileSync (root https://www.npmjs.com/package/graceful-fs))),taint,TaintedPath,3.0.12;0.13.1;0.4.0;2.4.0;3.0.11,10
(parameter 0 (member sync (root https://www.npmjs.com/package/glob))),taint,RegExpInjection,unknown;4.12.0;4.1.0;1.2.0,9
(parameter 0 (member load (root https://www.npmjs.com/package/yamljs))),taint,TaintedPath,0.2.10,9
(parameter 0 (member readFileSync (return (member gracefulify (root https://www.npmjs.com/package/graceful-fs))))),taint,TaintedPath,unknown;unknown;5.10.0;5.10.0;5.10.0;5.10.0;unknown;unknown,8
(parameter 0 (member readFileSync (member fs (return (root https://www.npmjs.com/package/lazy-cache))))),taint,TaintedPath,2.0.2,8
(parameter 0 (root https://www.npmjs.com/package/cross-spawn)),taint,CommandInjection,1.23.1;5.1.0;2.2.1,8
(parameter 0 (member exec (root https://www.npmjs.com/package/child-process-promise))),taint,CommandInjection,1.1.0,8
(parameter 1 (member match (root https://www.npmjs.com/package/minimatch))),taint,RegExpInjection,0.3.0;1.0.2,8
(parameter 0 (member parseFile (root https://www.npmjs.com/package/yamljs))),taint,TaintedPath,0.2.10,8
(member unescapePrefix (member interpolation (parameter 0 (member init (root https://www.npmjs.com/package/i18next))))),taint,RegExpInjection,8.4.3,7
(parameter 0 (member writeFile (root https://www.npmjs.com/package/graceful-fs))),taint,TaintedPath,3.0.12;3.0.11,6
(member name (parameter 0 (root https://www.npmjs.com/package/thenify))),taint,CodeInjection,1.3.0,6
(member name (member * (parameter 0 (root https://www.npmjs.com/package/thenify-all)))),taint,CodeInjection,1.3.0,6
(parameter 0 (member sync (root https://www.npmjs.com/package/command-exists))),taint,CommandInjection,1.2.8,6
(member filename (parameter 0 (member fn (parameter 0 (parameter 0 (member queue (root https://www.npmjs.com/package/async))))))),taint,TaintedPath,0.10.11;1.8.0,6
(parameter 0 (root https://www.npmjs.com/package/lodash.defaults)),taint,CodeInjection,2.4.1,5
(parameter 0 (root https://www.npmjs.com/package/lowdb)),taint,TaintedPath,0.5.1;0.13.1,5
(parameter 0 (root https://www.npmjs.com/package/glob)),taint,RegExpInjection,7.0.6;2.1.0;1.2.0,4
(parameter 0 (member toFunction (return (return (return (return (root https://www.npmjs.com/package/generate-function))))))),taint,CodeInjection,5.4.1;3.19.0;1.1.1;3.19.0,4
(member end (parameter 2 (root https://www.npmjs.com/package/path-to-regexp))),taint,RegExpInjection,4.5.1,4
(member name (member exec (parameter 0 (member withCallback (root https://www.npmjs.com/package/thenify-all))))),taint,CodeInjection,2.7.0,4
(parameter 0 (member parse (root https://www.npmjs.com/package/content-type))),taint,TaintedPath,2.34.0;2.34.0,4
(member filter (parameter 0 (root https://www.npmjs.com/package/require-all))),taint,RegExpInjection,2.2.0,4
(parameter 0 (member readFile (return (root https://www.npmjs.com/package/pify)))),taint,TaintedPath,4.2.0,3
(parameter 0 (root https://www.npmjs.com/package/create-error-class)),taint,CodeInjection,4.2.0,3
(parameter 0 (root https://www.npmjs.com/package/decompress)),taint,TaintedPath,4.2.0,3
(member interpolate (return (return (parameter 0 (root https://www.npmjs.com/package/lazy-cache))))),taint,RegExpInjection,2.0.2,3
